scientificname;longitude;latitude
Pabstiella calcarata;-48.980389;-25.497708
Phlegmariurus sellowianus;-48.982222;-25.515278
Phlegmariurus taxifolius;-48.920278;-25.44
Schaueria paranaensis;-48.916111;-25.445556
Schlechtendalia luzulifolia;-50.12;-24.737222
Symplocos corymboclados;-48.982222;-25.515278
Symplocos corymboclados;-48.982222;-25.515278
Symplocos corymboclados;-48.942778;-25.311083
Symplocos kleinii;-48.546389;-25.587778
Symplocos kleinii;-48.546389;-25.587778
Symplocos kleinii;-48.546389;-25.587778
Symplocos kleinii;-48.976028;-25.487472
Symplocos kleinii;-49.110556;-25.386667
Utricularia tridentata;-49.03;-25.394
Viola gracillima;-49.255;-25.360556
Xylopia brasiliensis;-28.915;-25.446667
Perezia eryngioides;-48.816667;-25.25
Mimosa hatschbachii;-52.055556;-25.572222
Oxalis paranaensis;-49.206389;-25.534722
Abatia angeliana;-51.746944;-24.777778
Aloysia hatschbachii;-49.429167;-26.098333
Alstroemeria amabilis;-49.055278;-25.305556
Baccharis aracatubensis;-49.063056;-25.441944
Cedrela fissilis;-52.132778;-24.761944
Citronella engleriana;-49.075;-25.3
Senecio langei;-49.0625;-25.3125
Stevia leptophylla;-49.6875;-25.8125
Virola bicuhyba;-49.4375;-24.5625
Xylopia brasiliensis;-48.8125;-25.4375
Eugenia sclerocalyx;-49.0625;-25.3125
Moquiniastrum argyreum;-50.0625;-25.4375
Ocotea porosa;-49.973056;-25.185361
Oxalis paranaensis;-49.1875;-25.5625
Oxypetalum dusenii;-49.0625;-25.3125
Ocotea porosa;-50.433333;-24.011111
Xylopia brasiliensis;-53.216667;-26.033333
Apuleia leiocarpa;-53.759;-23.342972
Gleditsia amorphoides;-52.134167;-24.777056
Apuleia leiocarpa;-50.597472;-25.908556
Araucaria angustifolia;-49.287333;-25.397389
Byrsonima brachybotrya;-49.6875;-24.3125
Byrsonima brachybotrya;-50.0625;-25.4375
Citronella engleriana;-48.856222;-25.255528
Citronella engleriana;-48.856222;-25.255528
Cyanocephalus apertiflorus;-49.968667;-25.171889
Gleditsia amorphoides;-51.90263889;-24.36547222
Eugenia malacantha;-68.5;0.5
Virola bicuhyba;-48.73333333;-25.33333333
Castela tweedii;-51.902778;-24.365417
Castela tweedii;-52.044278;-24.406889
Castela tweedii;-51.901417;-24.355806
Castela tweedii;-51.842694;-24.442556
Castela tweedii;-51.968222;-24.379556
Citronella engleriana;-49.231611;-25.447952
Euterpe edulis;-48.921072;-25.439659
Xylopia brasiliensis;-48.917431;-25.436513
Aechmea fasciata;-52.883333;-22.583333
Aechmea fasciata;-52.822778;-22.599167
Aloysia cordata;-49.039167;-25.5175
Araucaria angustifolia;-51.251358;-24.238353
Begonia stenolepis;-50.583333;-24.35
Butia microspadix;-49.992778;-25.231389
Castela tweedii;-52.434167;-24.7325
Cedrela fissilis;-51.928333;-23.429444
Cedrela fissilis;-52.839722;-22.642375
Cedrela fissilis;-52.833333;-22.642375
Cedrela fissilis;-51.941944;-23.391111
Cedrela fissilis;-52.900333;-22.607389
Cedrela fissilis;-52.726417;-23.867667
Cedrela fissilis;-51.866019;-23.339967
Cedrela fissilis;-51.859525;-23.339858
Cedrela fissilis;-51.865172;-23.349528
Cedrela fissilis;-51.865431;-23.350653
Cedrela fissilis;-51.939309;-23.404419
Cedrela fissilis;-51.95;-23.416667
Cedrela fissilis;-51.932222;-23.425556
Cedrela fissilis;-52.574356;-23.680989
Cedrela fissilis;-52.566861;-23.682861
Chloraea membranacea;-51.597175;-25.897194
Chrysolaena nicolackii;-50.258942;-24.562122
Chrysolaena nicolackii;-50.258611;-24.565636
Chrysolaena nicolackii;-50.258611;-24.561667
Epidendrum henschenii;-50.583333;-24.35
Epidendrum henschenii;-50.583333;-24.35
Epidendrum henschenii;-50.583333;-24.35
Euterpe edulis;-48.739722;-25.261389
Euterpe edulis;-52.056583;-23.375167
Euterpe edulis;-51.930083;-23.430194
Euterpe edulis;-52.725278;-23.094278
Grandiphyllum divaricatum;-50.583333;-24.35
Grandiphyllum hians;-50.583333;-24.35
Isabelia virginalis;-50.583333;-24.35
Lessingianthus asteriflorus;-50.000578;-25.239622
Lessingianthus asteriflorus;-50.044722;-25.222694
Lessingianthus exiguus;-50.258564;-24.565908
Lessingianthus exiguus;-49.996778;-25.241111
Lessingianthus westermanii;-49.988786;-25.239475
Lupinus gibertianus;-49.036111;-25.508889
Monteiroa smithii;-49.040556;-25.550833
Moquiniastrum argyreum;-49.995222;-25.240278
Moquiniastrum argyreum;-50.015028;-25.244944
Moquiniastrum sordidum;-49.992222;-25.247194
Moquiniastrum sordidum;-50.255861;-24.563833
Moquiniastrum sordidum;-49.992639;-25.246389
Moquiniastrum sordidum;-50.255111;-24.563444
Myrcia hexasticha;-48.420861;-25.61925
Nectandra paranaensis;-52.866944;-22.596667
Ocotea catharinensis;-52.854294;-22.629364
Ocotea catharinensis;-52.854294;-22.629364
Ocotea catharinensis;-48.741111;-24.866944
Ocotea odorifera;-51.385833;-25.907778
Pabstiella bacillaris;-51.595278;-25.907778
Pabstiella bacillaris;-51.597361;-25.918167
Paubrasilia echinata;-51.937222;-23.403611
Paubrasilia echinata;-51.938056;-23.404722
Paubrasilia echinata;-52.574356;-23.680989
Podostemum rutifolium rutifolium;-53.221694;-22.734083
Randia hebecarpa;-52.866944;-22.596667
Randia hebecarpa;-52.883333;-22.583333
Randia hebecarpa;-52.883333;-22.583333
Randia hebecarpa;-53.168139;-22.710833
Randia hebecarpa;-53.236556;-22.75575
Schlechtendalia luzulifolia;-50.12;-24.737222
Sloanea hatschbachii;-48.3542;-25.553
Swietenia macrophylla;-52.570508;-23.683022
Xylopia brasiliensis;-53.128989;-25.619694
Xylopia brasiliensis;-48.522997;-25.516572
Xylopia brasiliensis;-52.897028;-22.589083
Merostachys scandens;-50.1619;-25.095
Nectandra paranaensis;-48.965278;-25.423333
Ocotea mosenii;-48.5530556;-25.5894444
Ocotea odorifera;-48.9469444;-25.6077778
Oxalis paranaensis;-49.2064;-25.5347
Euplassa cantareirae;-48.9280556;-25.3444444
Hippeastrum psittacinum;-50.6156;-24.3239
Lessingianthus pumillus;-50.1619;-25.095
Cedrela fissilis;-51.9386;-23.4253
Cedrela fissilis;-51.9386;-23.4253
Cedrela fissilis;-51.4244;-23.4194
Symplocos kleinii;-48.9469444;-25.6077778
Alstroemeria amabilis;-48.8344;-25.4769
Begonia stenolepis;-50.5803;-23.9108
Sloanea hatschbachii;-48.588889;-25.923611
Psidium araucanum;-49.55;-24.183333
Psidium araucanum;-49.55;-24.183333
Araucaria angustifolia;-49.159166;-25.321944
Araucaria angustifolia;-49.167777;-25.322777
Araucaria angustifolia;-49.163055;-25.325
Cuphea glaziovii;-52.133055;-24.781944
Cuphea glaziovii;-52.133055;-24.781944
Ocotea porosa;-50.43333;-24.06667
Ocotea porosa;-50.43333;-24.06667
Byrsonima brachybotrya;-49.115;-25.2061111
Byrsonima brachybotrya;-50.1619444;-25.095
Byrsonima brachybotrya;-49.7058333;-24.2511111
Dyckia reitzii;-50.251861;-24.578667
Eryngium corallinum;-51.667778;-25.413889
Eryngium koehneanum;-48.822194;-25.1275
Eryngium scirpinum;-49.806417;-25.551528
Eryngium scirpinum;-50.261278;-24.584222
Escallonia obtusissima;-51.607222;-26.533333
Eugenia malacantha;-48.624722;-25.7925
Eugenia malacantha;-48.867778;-25.384722
Eugenia sclerocalyx;-48.688611;-25.627222
Eugenia vattimoana;-49.015833;-25.445556
Eugenia vattimoana;-49.013056;-25.456111
Euplassa cantareirae;-48.928056;-25.344444
Euterpe edulis;-52.320472;-24.111611
Euterpe edulis;-48.385083;-25.177722
Euterpe edulis;-52.481306;-24.578111
Euterpe edulis;-51.970028;-23.871389
Euterpe edulis;-51.982417;-23.882806
Euterpe edulis;-53.87175;-25.215667
Euterpe edulis;-53.077222;-25.611111
Euterpe edulis;-53.029694;-24.156722
Gleditsia amorphoides;-52.134167;-24.777056
Gleditsia amorphoides;-54.426417;-25.653361
Gleditsia amorphoides;-51.902639;-24.365472
Grandiphyllum divaricatum;-53.82125;-25.130417
Grandiphyllum hians;-51.846167;-24.446833
Grandiphyllum divaricatum;-51.850889;-25.965361
Grandiphyllum divaricatum;-48.981111;-25.497778
Heladena multiflora;-52.76475;-23.8345
Heteropterys dusenii;-52.307194;-24.210028
Heteropterys dusenii;-52.4375;-24.253222
Heteropterys dusenii;-50.12;-24.737222
Heteropterys dusenii;-50.142222;-24.716111
Hippeastrum psittacinum;-49.884361;-25.476722
Hippeastrum psittacinum;-51.077667;-23.967028
Hippeastrum psittacinum;-49.975639;-25.179556
Hippeastrum santacatarina;-51.674444;-26.525556
Hippeastrum striatum;-53.651472;-25.216778
Hippeastrum striatum;-53.659639;-25.130806
Isabelia virginalis;-53.866222;-25.225611
Lessingianthus asteriflorus;-50.260917;-24.583861
Lessingianthus reitzianus;-49.650278;-25.436417
Lippia pumila;-49.968889;-25.174583
Lobelia langeana;-48.981111;-25.497778
Lupinus gibertianus;-49.036111;-25.508889
Lupinus gibertianus;-50.142222;-24.716111
Lupinus gibertianus;-49.969556;-25.1765
Matayba cristae;-48.878333;-25.936944
Matayba cristae;-48.173056;-25.155556
Mikania clematidifolia;-51.837778;-26.189722
Mikania hastato-cordata;-49.051333;-25.837556
Mimosa bathyrrhena;-49.955556;-25.146944
Mimosa bathyrrhena;-49.946944;-25.130556
Mimosa callidryas;-50.12;-24.737222
Mimosa hatschbachii;-50.406111;-24.5525
Mimosa hatschbachii;-51.801944;-25.423333
Mimosa strobiliflora;-49.239167;-25.440833
Mimosa strobiliflora;-49.866389;-25.547778
Mimosa strobiliflora;-49.241667;-25.442222
Mimosa urticaria;-49.239167;-25.440833
Monteiroa smithii;-49.040556;-25.550833
Moquiniastrum sordidum;-50.246667;-24.520833
Moquiniastrum sordidum;-50.406111;-24.5525
Moquiniastrum sordidum;-49.806472;-25.553167
Moquiniastrum sordidum;-49.806444;-25.551972
Myrceugenia gertii;-49.029167;-25.4425
Myrceugenia gertii;-49.029444;-25.443056
Myrceugenia gertii;-49.028889;-25.442222
Myrceugenia gertii;-49.055556;-25.580556
Myrceugenia gertii;-49.015556;-25.445833
Nectandra paranaensis;-48.798333;-25.069167
Nectandra paranaensis;-48.641111;-24.818889
Neocabreria malachophylla;-52.23875;-24.748611
Neocabreria malachophylla;-52.132972;-24.7635
Neocabreria malachophylla;-52.32275;-24.197389
Neocabreria malachophylla;-52.132944;-24.763556
Neocabreria malachophylla;-52.308361;-24.211389
Neocabreria malachophylla;-52.464611;-24.520639
Ocotea catharinensis;-48.992222;-25.848333
Ocotea catharinensis;-48.710278;-24.853611
Ocotea catharinensis;-48.705;-24.852222
Ocotea catharinensis;-48.741111;-24.866944
Ocotea catharinensis;-49.011667;-25.457222
Ocotea catharinensis;-52.8525;-22.625
Ocotea marumbiensis;-49.028056;-25.621667
Ocotea marumbiensis;-49.021111;-25.447222
Ocotea mosenii;-48.553056;-25.589444
Ocotea marumbiensis;-40.0725;-25.641389
Ocotea odorifera;-48.946944;-25.607778
Ocotea odorifera;-49.014444;-25.449722
Ocotea odorifera;-49.957139;-25.147278
Ocotea odorifera;-49.369444;-25.5475
Ocotea odorifera;-48.987778;-25.850556
Ocotea odorifera;-49.1025;-25.762778
Ocotea odorifera;-49.065;-25.801944
Ocotea odorifera;-48.637222;-24.819722
Ocotea odorifera;-49.5;-24.84
Ocotea odorifera;-51.891944;-26.085278
Ocotea odorifera;-50.396667;-25.800833
Ocotea porosa;-48.879336;-25.937483
Ocotea porosa;-49.236944;-25.442222
Ocotea porosa;-49.640833;-25.471667
Ocotea porosa;-49.947861;-25.201611
Ocotea porosa;-50.142222;-24.716111
Ocotea porosa;-50.142222;-24.716111
Ocotea porosa;-50.142222;-24.716111
Ocotea porosa;-51.850194;-25.922056
Ocotea porosa;-51.748556;-24.778139
Ocotea porosa;-49.499722;-25.38
Ocotea porosa;-50.384722;-24.581944
Ocotea porosa;-50.969722;-25.532222
Ocotea porosa;-51.825556;-26.189444
Ocotea porosa;-51.623472;-24.941667
Ocotea porosa;-51.742556;-24.84625
Ocotea porosa;-51.404167;-24.919167
Ocotea porosa;-52.315417;-24.109028
Ocotea porosa;-51.550667;-25.040861
Octomeria hatschbachii;-51.525694;-25.039528
Octomeria hatschbachii;-51.524444;-25.036306
Oxalis hyalotricha;-54.457806;-25.647806
Oxalis hyalotricha;-54.481556;-25.627222
Oxalis paranaensis;-49.001389;-25.569722
Pachystachys dubiosa;-54.437611;-25.65375
Pachystachys dubiosa;-53.870139;-25.189083
Pachystachys dubiosa;-54.456444;-25.647139
Parasenegalia miersii;-49.218611;-25.411667
Passiflora setulosa;-50.698333;-24.398611
Passiflora setulosa;-52.319861;-24.108222
Paubrasilia echinata;-52.373361;-24.04925
Picramnia excelsa;-51.584417;-25.070472
Piper piritubanum;-48.304278;-25.552056
Plinia cordifolia;-48.880278;-25.9325
Plinia cordifolia;-48.919167;-25.58
Podostemum rutifolium;-51.906944;-26.085
Portulaca hatschbachii;-52.320083;-24.202361
Portulaca hatschbachii;-51.52575;-25.039278
Portulaca hatschbachii;-52.346972;-24.033028
Psidium araucanum;-49.4725;-25.286944
Schaueria paranaensis;-48.943056;-25.881944
Schlechtendalia luzulifolia;-50.12;-24.737222
Senecio langei;-49.97;-25.174917
Senecio langei;-49.806444;-25.553194
Serjania hatschbachii;-53.973778;-25.584056
Xyris lucida;-49;-25.883333
Sinningia lineata;-51.833028;-25.927528
Sloanea hatschbachii;-48.595;-25.925
Stemodia hyptoides;-54.429167;-25.682806
Stevia leptophylla;-50.254278;-24.581167
Stevia leptophylla;-50.148889;-24.776111
Symplocos corymboclados;-48.956667;-25.890278
Symplocos corymboclados;-48.916667;-25.450833
Symplocos corymboclados;-48.942778;-25.311111
Symplocos kleinii;-48.981667;-25.774722
Symplocos kleinii;-48.946944;-25.607778
Symplocos kleinii;-48.976111;-25.4875
Tillandsia crocata;-49.967806;-25.171944
Tillandsia crocata;-50.040278;-24.503333
Trithrinax acanthocoma;-51.572833;-25.069639
Tropaeolum warmingianum;-54.475306;-25.617111
Xyris hatschbachii;-49.700278;-25.7725
Xyris hatschbachii;-49.991667;-25.2475
Xyris hatschbachii;-49.768056;-25.465833
Xyris neglecta;-49.768333;-25.465278
Xyris neglecta;-49.803056;-25.554444
Xyris lucida;-48.956389;-25.8925
Xyris neglecta;-51.670833;-26.530278
Xyris neglecta;-48.933611;-25.311111
Xyris neglecta;-51.503889;-25.318056
Xyris neglecta;-50.016944;-24.480833
Xyris neglecta;-50.015;-24.4625
Xyris neglecta;-51.510833;-25.382778
Xyris neglecta;-50.004167;-25.246944
Xyris neglecta;-49.650278;-25.436417
Xyris rigida;-51.803056;-25.423333
Xyris rigida;-51.510833;-25.382778
Xyris neglecta;-49.843056;-24.382222
Xyris neglecta;-49.023056;-25.513889
Xyris neglecta;-49.645556;-25.470556
Xyris stenophylla;-49.024444;-25.513889
Xyris stenophylla;-49.714722;-25.538611
Xyris stenophylla;-48.834722;-25.245556
Xyris stenophylla;-49.766944;-25.463889
Xyris stenophylla;-49.721667;-25.466944
Xyris sororia;-50.264;-24.40225
Xyris stenophylla;-49.645;-24.139167
Xyris uninervis;-50.249722;-24.571389
Zephyranthes paranaensis;-51.526417;-25.04
Eryngium scirpinum;-50.1619444;-25.095
Myrcia rupicola;-49.0633333;-25.4416666
Ocotea odorifera;-49.2063889;-25.5347222
Ocotea odorifera;-49.9572222;-25.1472222
Ocotea porosa;-51.0788889;-25.5711111
Ocotea porosa;-51.4580556;-25.3952777
Ocotea porosa;-48.3288889;-25.3066667
Ocotea porosa;-50.1619444;-25.095
Ocotea porosa;-50.1619444;-25.095
Oxalis paranaensis;-49.2063889;-25.5347222
Eugenia pseudomalacantha;-49.3352777;-25.9925
Discaria americana;-50.0063889;-25.4294445
Matayba cristae;-49.0769445;-25.3655556
Matayba cristae;-49.0769445;-25.3655556
Matayba cristae;-48.2997222;-25.1361111
Mimosa bathyrrhena;-50.1619444;-25.095
Mimosa hatschbachii;-51.4580556;-25.3952777
Mimosa strobiliflora;-49.8902777;-25.5447222
Myrceugenia bracteosa;-50.6511111;-25.4672223
Myrceugenia bracteosa;-50.8505556;-24.6502778
Myrceugenia bracteosa;-50.8505556;-24.6502778
Myrceugenia bracteosa;-50.8505556;-24.6502778
Myrceugenia bracteosa;-51.0972222;-23.7233334
Myrceugenia bracteosa;-50.8505556;-24.6502778
Myrceugenia franciscensis;-49.7058333;-24.2511111
Myrceugenia gertii;-49.0633333;-25.4416666
Myrceugenia gertii;-49.2063889;-25.5347222
Picramnia excelsa;-50.3827778;-25.8741667
Picramnia excelsa;-49.2063889;-25.5347222
Plinia cordifolia;-49.08;-25.37
Stevia leptophylla;-50.0063889;-25.4294445
Stevia leptophylla;-49.7158333;-25.7697223
Tachigali denudata;-48.7119444;-25.4286111
Tachigali denudata;-48.5747223;-25.8827778
Hippeastrum santacatarina;-51.628889;-26.543056
Leandra hatschbachii;-48.814444;-25.253333
Leandra hatschbachii;-48.838056;-25.244444
Lulia nervosa;-48.961389;-26.030278
Ocotea catharinensis;-48.981389;-25.496944
Picrosia cabreriana;-51.63;-26.541111
Senecio langei;-49.806389;-25.553056
Calibrachoa spathulata;-51.489722;-26.286389
Calibrachoa spathulata;-51.453889;-26.17
Calibrachoa spathulata;-51.448889;-26.171667
Chascolytrum itatiaiae;-99.5675;-25.291111
Abatia angeliana;-52.349;-24.611333
Abatia angeliana;-51.728694;-24.863639
Abatia angeliana;-51.747083;-24.777944
Abatia angeliana;-51.898889;-26.085556
Abatia angeliana;-53.098667;-25.692056
Abatia angeliana;-52.434583;-24.53325
Abatia angeliana;-53.083333;-25.7
Aloysia hatschbachii;-49.239167;-25.440833
Aloysia cordata;-40.0725;-25.641389
Aloysia cordata;-49.056389;-25.569722
Alstroemeria amabilis;-48.821333;-25.128333
Castela tweedii;-51.525694;-25.040028
Apuleia leiocarpa;-54.355528;-25.59875
Apuleia leiocarpa;-53.759;-23.342972
Apuleia leiocarpa;-52.509167;-26.2025
Araucaria angustifolia;-53.845611;-25.154056
Araucaria angustifolia;-51.694222;-24.280111
Araucaria angustifolia;-51.845139;-25.945222
Apuleia leiocarpa;-54.432194;-25.692722
Araucaria angustifolia;-51.858667;-25.920806
Apuleia leiocarpa;-51.891667;-26.086111
Araucaria angustifolia;-51.5645;-25.043556
Araucaria angustifolia;-52.4185;-24.033972
Araucaria angustifolia;-51.891944;-26.085556
Araucaria angustifolia;-52.3;-24.1
Araucaria angustifolia;-51.262944;-25.624028
Araucaria angustifolia;-51.263167;-25.623722
Araucaria angustifolia;-51.286083;-25.625556
Araucaria angustifolia;-51.796417;-25.153639
Araucaria angustifolia;-52.359917;-24.016889
Araucaria angustifolia;-52.309861;-24.206139
Austroeupatorium rosmarinaceum;-49.808611;-25.551944
Barbacenia paranaensis;-49.623889;-24.121389
Barbacenia paranaensis;-49.645;-24.139167
Euterpe edulis;-52.725278;-23.094278
Cedrela fissilis;-52.726417;-23.867667
Bertolonia paranaensis;-48.200556;-25.154444
Euterpe edulis;-54.413194;-25.603389
Butia eriospatha;-51.22225;-25.369722
Butia eriospatha;-52.398278;-24.051306
Butia eriospatha;-50.133056;-25.053556
Butia microspadix;-50.254111;-24.5815
Butia microspadix;-49.974167;-25.181667
Butia microspadix;-49.992778;-25.231389
Byrsonima brachybotrya;-49.65;-24.166667
Byrsonima brachybotrya;-50.254139;-24.581194
Byrsonima brachybotrya;-50.254;-24.580528
Byrsonima brachybotrya;-50.406111;-24.5525
Byrsonima brachybotrya;-50.142222;-24.716111
Byrsonima brachybotrya;-49.640278;-25.481111
Byrsonima brachybotrya;-49.957778;-25.189167
Byrsonima brachybotrya;-49.9945;-25.203111
Cuphea glaziovii;-52.133056;-24.782083
Byrsonima brachybotrya;-49.968444;-25.174444
Calea acaulis;-49.056111;-25.4125
Byrsonima brachybotrya;-50.239722;-24.595778
Araucaria angustifolia;-51.572611;-25.069889
Cedrela fissilis;-53.527806;-24.401667
Casearia catharinensis;-49.343333;-25.625556
Castela tweedii;-51.954056;-24.372667
Castela tweedii;-52.242361;-24.747139
Castela tweedii;-52.132944;-24.771389
Castela tweedii;-52.427222;-24.734444
Castela tweedii;-51.842694;-24.442556
Castela tweedii;-51.901417;-24.355806
Castela tweedii;-52.178056;-26.0475
Castela tweedii;-52.226389;-23.99
Castela tweedii;-50.782778;-23.106389
Castela tweedii;-52.044278;-24.406889
Castela tweedii;-51.480278;-25.010833
Castela tweedii;-53.190083;-24.534
Castela tweedii;-51.548417;-25.044972
Castela tweedii;-51.90575;-24.359139
Castela tweedii;-51.844806;-24.440111
Castela tweedii;-52.153333;-24.301889
Castela tweedii;-51.962556;-24.376528
Castela tweedii;-52.154833;-24.319556
Castela tweedii;-52.226389;-23.99
Castela tweedii;-51.968222;-24.379556
Castela tweedii;-52.331111;-24.103694
Cedrela fissilis;-53.874722;-25.220444
Cedrela fissilis;-54.479444;-25.626
Cedrela fissilis;-52.133;-24.762167
Cedrela fissilis;-52.429111;-24.249083
Cedrela fissilis;-50.675;-24.383889
Cedrela fissilis;-51.854417;-25.922306
Cedrela fissilis;-51.845944;-25.945333
Cedrela fissilis;-53.294861;-23.627722
Cedrela fissilis;-51.958861;-24.369028
Cedrela fissilis;-52.796389;-22.623222
Cedrela fissilis;-51.903694;-24.356444
Cedrela fissilis;-51.844556;-24.440639
Cedrela odorata;-48.889167;-25.359722
Cedrela fissilis;-52.32575;-24.105417
Araucaria angustifolia;-52.36075;-24.048611
Chromolaena rhinanthacea;-49.325;-25.553333
Chrysolaena nicolackii;-49.855764;-24.398889
Cinnamodendron occhionianum;-48.889722;-25.350556
Cinnamodendron occhionianum;-48.318889;-25.16
Cedrela fissilis;-52.751917;-23.860778
Cedrela fissilis;-52.460917;-24.520639
Aloysia cordata;-49.039167;-25.5175
Astraea cincta;-52.363194;-24.014389
Dicksonia sellowiana;-52.129722;-24.763972
Crocanthemum brasiliensis;-49.89175;-25.474806
Crocanthemum brasiliensis;-49.768333;-25.47
Butia eriospatha;-54.476583;-25.624389
Cryptocarya botelhensis;-48.174444;-25.155556
Cuphea glaziovii;-52.133222;-24.781639
Cuphea glaziovii;-51.905194;-24.362722
Cuphea glaziovii;-52.152944;-24.313028
Cedrela fissilis;-51.95;-23.416667
Curitiba prismatica;-49.089556;-25.292083
Curitiba prismatica;-50.12;-24.737222
Cyanocephalus apertiflorus;-49.972778;-25.18525
Curitiba prismatica;-50.396667;-25.800833
Dicksonia sellowiana;-51.286417;-25.624167
Castela tweedii;-51.902778;-24.365417
Cyrtopodium lamellaticallosum;-50.253889;-24.5805
Cyrtopodium palmifrons;-54.464389;-25.628944
Dicksonia sellowiana;-53.670639;-25.083889
Dicksonia sellowiana;-51.855667;-25.927278
Dicksonia sellowiana;-51.850889;-25.972056
Dicksonia sellowiana;-51.565;-24.976333
Dicksonia sellowiana;-51.593556;-25.060194
Dicksonia sellowiana;-51.748917;-24.780389
Dicksonia sellowiana;-51.731944;-24.77275
Dicksonia sellowiana;-51.850222;-25.973472
Dicksonia sellowiana;-51.850361;-24.646667
Dicksonia sellowiana;-51.854917;-25.944056
Dicksonia sellowiana;-51.852194;-25.965861
Dicksonia sellowiana;-51.838306;-25.949722
Dicksonia sellowiana;-51.900278;-26.085278
Dicksonia sellowiana;-52.266972;-24.577639
Dicksonia sellowiana;-51.252889;-25.617056
Dicksonia sellowiana;-51.562222;-25.043611
Dicksonia sellowiana;-51.797778;-25.150444
Dicksonia sellowiana;-51.561944;-25.044444
Dicksonia sellowiana;-51.753778;-26.08575
Discaria americana;-49.768333;-25.47
Discaria americana;-49.768333;-25.47
Xyris hatschbachii;-49.991667;-25.2475
Xyris lucida;-49;-25.883333
Xyris lucida;-48.956389;-25.889722
Xyris lucida;-48.956389;-25.889722
Xyris neglecta;-49.803056;-25.554444
Xyris neglecta;-49.724722;-25.468889
Xyris neglecta;-50.004167;-25.246944
Xyris neglecta;-49.843056;-24.382222
Xyris neglecta;-50.123056;-24.905833
Xyris neglecta;-49.811111;-25.374444
Xyris neglecta;-49.721944;-25.438611
Xyris neglecta;-51.503889;-25.318056
Xyris neglecta;-50.016944;-24.480833
Xyris neglecta;-49.023056;-25.513889
Xyris rigida;-51.803056;-25.423333
Xyris rigida;-51.510833;-25.382778
Xyris stenophylla;-49.721667;-25.466944
Xyris stenophylla;-49.714722;-25.538611
Xyris uninervis;-50.249722;-24.571389
Solanum pabstii;-50.775278;-25.409167
Stevia selloi;-50.158611;-24.765278
Calibrachoa spathulata;-51.489722;-26.286389
Alstroemeria amabilis;-48.824167;-25.246389
Araucaria angustifolia;-51.400556;-26.546111
Eryngium corallinum;-51.803333;-25.423611
Eryngium koehneanum;-48.821389;-25.1275
Byrsonima brachybotrya;-49.768889;-25.464722
Byrsonima brachybotrya;-50.008056;-24.426111
Byrsonima brachybotrya;-50.014722;-24.47
Byrsonima brachybotrya;-49.652778;-24.1625
Curitiba prismatica;-50.4605556;-25.3683334
Curitiba prismatica;-50.0063889;-25.4294445
Curitiba prismatica;-50.4605556;-25.3683334
Curitiba prismatica;-50.1972222;-25.9861111
Curitiba prismatica;-49.2730556;-25.4277778
Curitiba prismatica;-49.2730556;-25.4277778
Xyris neglecta;-49.8030556;-25.5544444
Portulaca hatschbachii;-51.1627778;-23.3102778
Psidium araucanum;-49.55;-24.1833334
Psidium reptans;-49.0258334;-25.0586111
Xylopia brasiliensis;-53.13;-25.62
Cuphea glaziovii;-52.2875;-25.14
Cuphea glaziovii;-52.2875;-25.14
Symplocos corymboclados;-48.829861;-25.245278
Symplocos corymboclados;-48.990278;-25.514667
Randia hebecarpa;-51.701667;-22.688333
Ocotea odorifera;-48.918889;-25.579444
Aloysia cordata;-49.056389;-25.569722
Phlegmariurus christii;-48.847722;-25.230083
Cryptocarya botelhensis;-48.174444;-25.155556
Eugenia malacantha;-48.599444;-25.741111
Abatia angeliana;-51.983333;-26.483333
Abatia angeliana;-49.05;-25.3
Aloysia hatschbachii;-49.416667;-26.083333
Araucaria angustifolia;-49.266667;-25.416667
Araucaria angustifolia;-49.224167;-25.291944
Araucaria angustifolia;-49.224167;-25.291944
Araucaria angustifolia;-49.224167;-25.291944
Araucaria angustifolia;-49.224167;-25.291944
Araucaria angustifolia;-49.224167;-25.291944
Araucaria angustifolia;-49.266667;-25.416667
Araucaria angustifolia;-49.266667;-25.416667
Araucaria angustifolia;-49.273056;-25.428056
Aspidosperma parvifolium;-49.273056;-25.428056
Butia eriospatha;-49.158611;-25.323333
Byrsonima brachybotrya;-50.251389;-24.560556
Cedrela fissilis;-53.116667;-25.6
Cedrela fissilis;-49.224167;-25.291944
Cedrela fissilis;-49.224167;-25.291944
Chloraea membranacea;-49.216667;-25.283333
Citronella engleriana;-48.837222;-25.256667
Curitiba prismatica;-49.224167;-25.291944
Curitiba prismatica;-49.216667;-25.283333
Dicksonia sellowiana;-51.6;-26.416667
Dicksonia sellowiana;-49.216667;-25.283333
Dicksonia sellowiana;-51.6;-26.416667
Ocotea odorifera;-49.224167;-25.291944
Eugenia sclerocalyx;-48.966667;-25.4
Eugenia sclerocalyx;-48.966667;-25.4
Euplassa cantareirae;-49.066667;-25.35
Mimosa strobiliflora;-49.216667;-25.283333
Mimosa strobiliflora;-49.216667;-25.283333
Mimosa strobiliflora;-49.883333;-25.533333
Ocotea porosa;-49.224167;-25.291944
Muellera graciliflora;-49.224167;-25.291944
Muellera graciliflora;-49.224167;-25.291944
Muellera graciliflora;-49.224167;-25.291944
Muellera graciliflora;-49.224167;-25.291944
Muellera graciliflora;-49.224167;-25.291944
Muellera graciliflora;-49.224167;-25.291944
Myrceugenia gertii;-49.1;-25.2
