scientificname;longitude;latitude
Dicksonia sellowiana;-49.2731;-25.4281
Eryngium ombrophilum;-48.8342;-25.4769
Mikania pinnatiloba;-53.0258;-26.1494
Eugenia myrciariifolia;-50.5803;-23.9108
Lupinus gibertianus;-49.159367;-25.441889
Xyris rigida;-49.159367;-25.441889
Ocotea odorifera;-49.2608;-24.8236
Eugenia pseudomalacantha;-48.7117;-25.4286
Smilax subsessiliflora;-48.5744;-25.8831
Symplocos kleinii;-49.05;-25.43
Mollinedia jorgearum;-48.3;-25.5
Mikania hastato-cordata;-48.3;-25.5
Rhamnidium glabrum;-48.8342;-25.4769
Ocotea porosa;-51.4581;-25.3956
Tillandsia crocata;-50.1;-24.18
Valeriana reitziana;-51.57403;-26.589411
Araucaria angustifolia;-53.1567;-25.2033
Piper piritubanum;-48.326804;-25.522889
Araucaria angustifolia;-50.6508;-25.4672
Scutia arenicola;-48.7117;-25.4286
Ocotea porosa;-50.077154;-25.140873
Paepalanthus hydra;-50.1617;-25.095
Gleditsia amorphoides;-53.49;-23.7361
Gleditsia amorphoides;-53.49;-23.7361
Neomarica northiana;-48.8342;-25.4769
Valeriana reitziana;-50.0064;-25.4294
Eugenia joenssonii;-48.72;-25.42
Eugenia joenssonii;-48.72;-25.42
Alstroemeria amabilis;-48.83;-25.23
Ocotea porosa;-50.011477;-25.232383
Gleditsia amorphoides;-54.2556;-24.08
Byrsonima brachybotrya;-49.31;-25.3247
Desmodium craspediferum;-50.012929;-25.234872
Ocotea porosa;-49.96198;-25.145584
Eugenia joenssonii;-48.90806;-25.93389
Eugenia macrobracteolata;-48.90806;-25.93389
Symplocos itatiaiae;-48.829656;-25.241299
Symplocos itatiaiae;-48.829656;-25.241299
Aloysia hatschbachii;-49.4292;-26.0983
Xylosma glaberrima;-49.7056;-24.2511
Xylosma glaberrima;-49.7056;-24.2511
Xylosma glaberrima;-49.7056;-24.2511
Euterpe edulis;-49.7056;-24.2511
Begonia vicina;-49.713647;-24.340602
Byrsonima brachybotrya;-49.713647;-24.340602
Cattleya guttata;-49.7056;-24.2511
Butia eriospatha;-49.290126;-25.310726
Byrsonima brachybotrya;-49.9483;-24.5261
Lessingianthus reitzianus;-49.9483;-24.5261
Butia microspadix;-49.7056;-24.2511
Butia microspadix;-50.15;-25.08
Eryngium corallinum;-51.925602;-25.447968
Brachystele camporum;-51.925602;-25.447968
Apoclada simplex;-53.1808;-25.4189
Myrcia reticulata;-49.7156;-25.7697
Heteropterys dusenii;-49.2242;-25.2919
Xyris vacillans;-49.13368;-25.799321
Xyris stenophylla;-49.13368;-25.799321
Albizia burkartiana;-52.5;-26
Albizia burkartiana;-52.5;-26
Neomitranthes cordifolia;-48.5092;-25.5203
Mimosa hatschbachii;-51.4581;-25.3956
Lessingianthus pumillus;-50.5842;-25.0242
Myrcia reticulata;-49.28;-24.28
Eugenia bunchosiifolia;-48.7117;-25.4286
Astraea cincta;-52.3831;-24.0458
Janusia occhionii;-52.3831;-24.0458
Cunila incana;-52.1225;-25.37603
Mimosa hatschbachii;-52.1225;-25.37603
Mimosa hatschbachii;-52.1225;-25.37603
Mimosa callidryas;-49.7156;-25.7697
Byrsonima brachybotrya;-49.156082;-25.257884
Cedrela fissilis;-50.0969;-24.9181
Xyris vacillans;-50.152803;-24.908517
Gomphrena paranensis;-50.152803;-24.908517
Gleditsia amorphoides;-52.1264;-25.3744
Lobelia langeana;-50.5842;-25.0242
Solanum kleinii;-49.3478;-25.22
Gomphrena paranensis;-49.7056;-24.2511
Isabelia virginalis;-49.7056;-24.2511
Rhamnidium glabrum;-49.7056;-24.2511
Myrceugenia gertii;-49.0631;-25.4419
Lycianthes repens;-50.9778;-25.2133
